level,kind,english,part_of_speech,hebrew_translation,hebrew_definition,english_example
C2,term,"abstruse","adjective","סתום/עמום","סתום — קשה מאוד להבנה","An abstruse theory."
C2,term,"abundance","noun","שפע","שפע — כמות גדולה מאוד","An abundance of food."
C2,term,"acclaim","noun","תשבחות/הוקרה","תשבחות והוקרה פומבית","Critical acclaim."
C2,term,"acerbic","adjective","חריף/עוקצני","חריף ועוקצני בלשונו","An acerbic critic."
C2,term,"acrimony","noun","מרירות/עוינות","מרירות ועוינות בחילופי דברים","The debate ended in acrimony."
C2,term,"acumen","noun","חדות שכל/חוש","חדות שכל ושיפוט מהיר","Business acumen."
C2,term,"adept","adjective","מיומן","מיומן מאוד","Adept at puzzles."
C2,term,"adroit","adjective","זריז/מיומן","זריז ומיומן","An adroit negotiator."
C2,term,"affluent","adjective","אמיד/עשיר","אמיד, עשיר","An affluent suburb."
C2,term,"aggrieved","adjective","נפגע/מקופח","נפגע, חש מקופח","The aggrieved party."
C2,term,"alacrity","noun","זריזות/נכונות","זריזות ונכונות שמחה","He agreed with alacrity."
C2,term,"alter","verb","לשנות","לשנות","Measuring alters it."
C2,term,"ameliorate","verb","להיטיב/לשפר","לשפר מצב גרוע; להיטיב","Reforms ameliorated conditions."
C2,term,"amorphous","adjective","חסר צורה/אמורפי","חסר צורה ברורה","An amorphous mass."
C2,term,"amputating","verb","קוטע/כורת","קוטע, כורת","Amputating the facts."
C2,term,"anathema","noun","דבר שנוא/חרם","דבר שנוא ומתועב","Censorship is anathema to her."
C2,term,"anomaly","noun","חריגה/אנומליה","חריגה מהנורמה או מהצפוי","The data showed a strange anomaly."
C2,term,"antipathy","noun","סלידה/רתיעה","סלידה — רגש שלילי עמוק","A deep antipathy to change."
C2,term,"antithesis","noun","היפוך גמור","ההיפוך הגמור של דבר","The very antithesis of art."
C2,term,"antithetical","adjective","מנוגד בתכלית","מנוגד לחלוטין במהותו","The idea is antithetical to freedom."
C2,term,"aplomb","noun","קור רוח/ביטחון","קור רוח וביטחון עצמי","She handled it with aplomb."
C2,term,"apocryphal","adjective","בדוי/מפוקפק","בדוי, מסופק מבחינת אמיתותו","An apocryphal story."
C2,term,"arcane","adjective","נסתר/חתום","נסתר ומובן למעטים","Arcane rules."
C2,term,"articulation","noun","ניסוח","ניסוח, הבעה במילים","It resists articulation."
C2,term,"ascetic","adjective","סגפני","סגפני, מסתפק במועט","An ascetic lifestyle."
C2,term,"aspersion","noun","השמצה/הטלת דופי","השמצה, הטלת דופי","To cast aspersions."
C2,term,"assiduous","adjective","חרוץ/שקדן","חרוץ ושקדן","Assiduous research."
C2,term,"auspicious","adjective","מבשר טובות","מבשר טובות, מעורר תקווה","An auspicious start."
C2,term,"avarice","noun","חמדנות/בצע","חמדנות, בצע כסף","Driven by avarice."
C2,term,"banal","adjective","בנאלי/נדוש","בנאלי, נדוש וחסר מקוריות","A banal observation."
C2,term,"bane","noun","מקור צרה/קללה","מקור צרה מתמשך","The bane of my life."
C2,term,"beleaguered","adjective","נצור/מוטרד","נצור, נתון בלחץ מתמשך","A beleaguered minister."
C2,term,"bellicose","adjective","תוקפני/לוחמני","תוקפני ולוחמני","Bellicose rhetoric."
C2,term,"bequeath","verb","להוריש","להוריש בצוואה","She bequeathed her estate."
C2,term,"bias","noun","הטיה","הטיה","A hidden bias."
C2,term,"blithe","adjective","עליז/חסר דאגה","עליז וחסר דאגה (לעיתים שלילי)","Blithe indifference."
C2,term,"bombastic","adjective","מנופח/מליצי","מנופח ומליצי ללא תוכן","A bombastic speech."
C2,term,"bourgeois","adjective","בורגני","בורגני, של מעמד הביניים","Bourgeois values."
C2,term,"bucolic","adjective","כפרי/פסטורלי","כפרי, פסטורלי ושלֵו","A bucolic landscape."
C2,term,"burgeon","verb","לפרוח/לשגשג","לצמוח ולהתפתח במהירות","A burgeoning industry."
C2,term,"cacophony","noun","צרימה/רעש מבולגן","צרימה — תערובת קולות צורמת","A cacophony of horns."
C2,term,"cajole","verb","לשדל/לפתות בדברים","לשדל בדברי חלקות","He cajoled her into agreeing."
C2,term,"callous","adjective","אטום/חסר רגש","אטום רגשית, חסר אכפתיות","A callous remark."
C2,term,"callow","adjective","בוסר/חסר ניסיון","בוסר, צעיר וחסר ניסיון","A callow youth."
C2,term,"camaraderie","noun","רעות/אחוות חברים","רעות — תחושת חברות וקרבה","Team camaraderie."
C2,term,"candour","noun","גילוי לב/כנות","גילוי לב וכנות","I admire her candour."
C2,term,"cantankerous","adjective","רגזן/נרגן","רגזן ונרגן","A cantankerous old man."
C2,term,"capitulate","verb","להיכנע","להיכנע ולהפסיק להתנגד","They finally capitulated."
C2,term,"capricious","adjective","הפכפך/קפריזי","הפכפך — משנה דעתו ללא היגיון","Capricious weather."
C2,term,"careless","adjective","רשלן/חסר זהירות","רשלן, חסר זהירות","Equally careless."
C2,term,"cessation","noun","הפסקה/חדילה","הפסקה, חדילה","A cessation of hostilities."
C2,term,"churlish","adjective","גס רוח","גס רוח וחסר נימוס","It seemed churlish to refuse."
C2,term,"circumspect","adjective","זהיר/מחושב","זהיר ומחושב בפעולותיו","Be circumspect in your dealings."
C2,term,"clandestine","adjective","חשאי","חשאי — נעשה בסתר","A clandestine meeting."
C2,term,"cling","verb","להיאחז","להיאחז בחוזקה","Cling to hope."
C2,term,"cogent","adjective","משכנע/מנומק","משכנע ומבוסס היטב הגיונית","She presented a cogent case."
C2,term,"cognizant","adjective","מודע ל-","מודע ל-, ער ל-","Cognizant of the risks."
C2,term,"condemn","verb","לגנות/להוקיע","לגנות, להוקיע","We condemn the second."
C2,term,"conflagration","noun","תבערה גדולה","תבערה גדולה; שריפה רחבת היקף","A vast conflagration."
C2,term,"connive","verb","לקשור קשר/לעצום עין","לקשור קשר, או לעצום עין מרשע","They connived to deceive him."
C2,term,"connoisseur","noun","מבין/אנין טעם","מבין גדול ואנין טעם בתחום","A wine connoisseur."
C2,term,"connotation","noun","קונוטציה/משמעות לוואי","קונוטציה, משמעות לוואי","A negative connotation."
C2,term,"consternation","noun","תדהמה/חרדה","תדהמה מהולה בחרדה","To my consternation."
C2,term,"contrarian","noun","מתנגד/הולך נגד הזרם","מי שמתנגד לדעת הרוב","A born contrarian."
C2,term,"contrite","adjective","מתחרט","מתחרט ומלא חרטה","A contrite apology."
C2,term,"costume","noun","תחפושת/מסווה","תחפושת, מסווה","A clever costume."
C2,term,"craves","verb","משתוקק/כמה","משתוקק, כמֵה","Craves attention."
C2,term,"critically","adverb","בביקורתיות","בביקורתיות","Read critically."
C2,term,"curdle","verb","להידרדר/להחמיץ","להידרדר/להתקלקל (כאן: מטאפורי)","Joy curdled into fear."
C2,term,"cursory","adjective","שטחי/חפוז","שטחי וחפוז","A cursory glance."
C2,term,"cynicism","noun","ציניות","ציניות, חוסר אמון בכוונות אחרים","A note of cynicism."
C2,term,"dazzling","adjective","מסנוור/מרהיב","מסנוור, מרהיב","A dazzling display."
C2,term,"dearth","noun","מחסור/מיעוט","מחסור, מיעוט","A dearth of evidence."
C2,term,"debacle","noun","מפלה/כישלון חרוץ","מפלה, כישלון חרוץ ומביך","The launch was a debacle."
C2,term,"decorous","adjective","הולם/מנומס","הולם, מנומס ומכובד","Decorous behaviour."
C2,term,"decorum","noun","נימוס/הליכות","נימוס והתנהגות הולמת","Maintain decorum in court."
C2,term,"deference","noun","התחשבות/כבוד","התחשבות וכבוד לסמכות","Out of deference to elders."
C2,term,"demise","noun","קץ/חדלון","קץ, מות או חדלון","The demise of the empire."
C2,term,"denigrate","verb","להשמיץ/לבזות","להשמיץ — להמעיט בערך","He denigrated their work."
C2,term,"denouement","noun","סיומת/התרה","סיומת — התרת העלילה","A surprising denouement."
C2,term,"desert","noun","גמול ראוי","מה שמגיע לאדם, גמול ראוי","What we call desert."
C2,term,"detached","adjective","מנותק","מנותק, אובייקטיבי","Detached observation."
C2,term,"devours","verb","בולע/מכלה","בולע, מכלה","It devours time."
C2,term,"diatribe","noun","נאום נזעם","נאום נזעם ותקיף","A diatribe against the press."
C2,term,"dichotomy","noun","ניגוד/דיכוטומיה","ניגוד חד בין שני דברים נפרדים","The dichotomy between theory and practice."
C2,term,"digestion","noun","עיכול/הטמעה","עיכול, הטמעה","The digestion of influence."
C2,term,"dilettante","noun","חובבן","חובבן שעוסק בשטחיות","A mere dilettante."
C2,term,"disabuse","verb","להוציא מטעות","להוציא מטעות או מאשליה","Let me disabuse you of that."
C2,term,"discards","verb","משליך","זורק, משליך","Discards the rest."
C2,term,"disdain","noun","בוז/זלזול","בוז, יחס מזלזל","She looked at him with disdain."
C2,term,"disparage","verb","לזלזל/להמעיט","לזלזל, להמעיט בערך","He disparaged their efforts."
C2,term,"disparate","adjective","שונים בתכלית","שונים מאוד זה מזה","Disparate ideas."
C2,term,"dogma","noun","דוגמה/עיקר אמונה","דוגמה, עיקר אמונה נוקשה","Political dogma."
C2,term,"dogmatic","adjective","דוגמטי/נוקשה","דוגמטי, נוקשה בדעותיו","A dogmatic attitude."
C2,term,"duplicity","noun","דו-פרצופיות/מרמה","דו-פרצופיות, מרמה","Accused of duplicity."
C2,term,"durable","adjective","בר-קיימא","בר-קיימא, עמיד","Durable authority."
C2,term,"ebullient","adjective","תוסס/נלהב","תוסס ומלא התלהבות","An ebullient host."
C2,term,"eclectic","adjective","אקלקטי/מגוון","אקלקטי, מורכב ממקורות מגוונים","An eclectic taste in music."
C2,term,"effrontery","noun","חוצפה/עזות מצח","חוצפה ועזות מצח","He had the effrontery to lie."
C2,term,"effusive","adjective","נלהב/גודש רגשות","נלהב וגודש רגשות","Effusive praise."
C2,term,"egalitarian","adjective","שוויוני","שוויוני, דוגל בשוויון","An egalitarian society."
C2,term,"egregious","adjective","נורא/בוטה","בוטה ונורא במיוחד (שלילי)","An egregious error."
C2,term,"eloquence","noun","רהיטות","רהיטות, יכולת ביטוי משכנעת","She spoke with eloquence."
C2,term,"elucidate","verb","להבהיר","להבהיר, להסביר בבירור","Let me elucidate the point."
C2,term,"endures","verb","שורד/מתקיים","ממשיך להתקיים לאורך זמן","The myth endures."
C2,term,"enervate","verb","להתיש","להתיש, לרוקן מכוח","The heat enervated us."
C2,term,"enigma","noun","חידה/תעלומה","חידה — דבר מסתורי וקשה להבנה","He remained an enigma."
C2,term,"enmity","noun","איבה/עוינות","איבה, עוינות עמוקה","Old enmity between them."
C2,term,"ennui","noun","שעמום/דכדוך","שעמום ודכדוך מתמשך","A sense of ennui."
C2,term,"ephemeral","adjective","בן-חלוף","בן-חלוף — נמשך זמן קצר בלבד","Fame can be ephemeral."
C2,term,"epiphany","noun","התגלות/הארה","התגלות, רגע של הארה פתאומית","She had an epiphany."
C2,term,"epistemic","adjective","אפיסטמי/הקשור לידע","הקשור לידע ולהכרה","Epistemic humility."
C2,term,"epitome","noun","התגלמות/דוגמה מובהקת","התגלמות, דוגמה מובהקת","The epitome of elegance."
C2,term,"equanimity","noun","שלוות נפש","שלוות נפש בעת קושי","She faced it with equanimity."
C2,term,"equivocal","adjective","דו-משמעי/מתחמק","דו-משמעי ומעורפל בכוונה","An equivocal response."
C2,term,"equivocate","verb","להתחמק/לדבר דו-משמעית","להתחמק בדיבור דו-משמעי","Stop equivocating."
C2,term,"erudite","adjective","מלומד","מלומד — בעל ידע רחב ועמוק","An erudite scholar."
C2,term,"eschew","verb","להימנע מ־/לבחול ב־","להימנע במכוון ממשהו","She eschews social media."
C2,term,"esoteric","adjective","אזוטרי/נסתר","אזוטרי — מובן רק למעטים","The lecture was rather esoteric."
C2,term,"espouse","verb","לאמץ/לדגול","לאמץ ולתמוך ברעיון או באמונה","He espoused liberal values."
C2,term,"euphemism","noun","לשון נקייה/המעטה","לשון נקייה, ביטוי ממתן","A euphemism for death."
C2,term,"evaporates","verb","מתאדה","מתאדה, נעלם","Hope evaporates."
C2,term,"exonerate","verb","לזכות מאשמה","לזכות מאשמה","The evidence exonerated him."
C2,term,"expedient","adjective","מועיל/תכליתי","מועיל ותכליתי (לא בהכרח מוסרי)","A politically expedient move."
C2,term,"explicit","adjective","מפורש/גלוי","מפורש, גלוי","Made explicit."
C2,term,"extol","verb","להלל/לשבח","להלל, לשבח מאוד","They extolled his virtues."
C2,term,"facetious","adjective","התלוצצות/לא רציני","מתלוצץ שלא במקום","A facetious comment."
C2,term,"fastidious","adjective","קפדן/בררן","קפדן ובררן עד הפרט הקטן","Fastidious about cleanliness."
C2,term,"fatuous","adjective","טיפשי/חלול","טיפשי וחסר ערך","A fatuous remark."
C2,term,"fervent","adjective","נלהב/לוהט","נלהב ולוהט ברגשותיו","A fervent supporter."
C2,term,"flatters","verb","מחמיא/מייפה","מציג באור חיובי מדי","It flatters him."
C2,term,"flaw","noun","פגם","פגם, ליקוי","A small flaw."
C2,term,"flawless","adjective","מושלם/ללא פגם","מושלם, ללא פגם","A flawless bowl."
C2,term,"flinching","verb","נרתע/מהסס","נרתע, נמלט","Without flinching."
C2,term,"fortuitous","adjective","מקרי/בר-מזל","מקרי, ולרוב בר-מזל","A fortuitous meeting."
C2,term,"fracture","noun","שבר/סדק","שבר, סדק","Mend the fracture."
C2,term,"frantic","adjective","קדחתני/נואש","קדחתני, נואש","A frantic search."
C2,term,"frontier","noun","גבול/חזית","גבול, חזית","Frontier of ignorance."
C2,term,"furtive","adjective","חשאי/מתגנב","חשאי ומתגנב","A furtive glance."
C2,term,"galvanize","verb","להמריץ/לזרז","להמריץ לפעולה נמרצת","The speech galvanized the crowd."
C2,term,"garrulous","adjective","פטפטן","פטפטן — מדבר יותר מדי","A garrulous neighbour."
C2,term,"genuine","adjective","אמיתי/כן","אמיתי, כן","Genuine concern."
C2,term,"grandiloquent","adjective","מליצי/נמלץ","מליצי ומנופח בלשונו","A grandiloquent speech."
C2,term,"hackneyed","adjective","נדוש/שחוק","נדוש ושחוק מרוב שימוש","A hackneyed phrase."
C2,term,"harden","verb","להתקשות","להתקשות, להפוך לקשיח","Attitudes harden."
C2,term,"hegemony","noun","הגמוניה/שליטה","הגמוניה — שליטה של גורם אחד","Cultural hegemony."
C2,term,"iconoclast","noun","מנפץ מוסכמות","מי שמנפץ מוסכמות ואמונות","He was an iconoclast."
C2,term,"idiosyncrasy","noun","מוזרות/תכונה ייחודית","מוזרות או תכונה ייחודית לאדם","One of his idiosyncrasies."
C2,term,"idiosyncratic","adjective","ייחודי/אופייני־רק־לו","ייחודי ומוזר לאדם מסוים","He has an idiosyncratic style."
C2,term,"idleness","noun","בטלה","בטלה — חוסר מעש","Moments of idleness."
C2,term,"idyllic","adjective","אידילי","אידילי, שלֵו ומושלם","An idyllic village."
C2,term,"impeccable","adjective","ללא רבב/מושלם","ללא רבב, מושלם","Impeccable manners."
C2,term,"impetuous","adjective","נמהר/פזיז","נמהר — פועל בלי לחשוב","An impetuous decision."
C2,term,"inchoate","adjective","ראשוני/לא מגובש","ראשוני ולא מגובש","Inchoate ideas."
C2,term,"indebted","adjective","חב חוב","חב חוב, אסיר תודה","Openly indebted."
C2,term,"ineffable","adjective","בל יתואר","שלא ניתן לבטא במילים","Ineffable beauty."
C2,term,"inevitably","adverb","באופן בלתי-נמנע","באופן בלתי-נמנע","Inevitably brings risk."
C2,term,"inexorable","adjective","בלתי-נמנע","בלתי-נמנע — שאי אפשר לעצור","The inexorable rise of technology."
C2,term,"iniquity","noun","עוול/רשע","עוול ורשע מוסרי","The iniquity of slavery."
C2,term,"insidious","adjective","ערמומי/מתגנב","ערמומי ומזיק בהדרגה ובסתר","An insidious disease."
C2,term,"interest","noun","אינטרס/עניין","אינטרס, עניין","Choices carry interests."
C2,term,"interfere","verb","להתערב/להפריע","להתערב, להפריע","To look is to interfere."
C2,term,"intervention","noun","התערבות","התערבות","Every intervention."
C2,term,"intoxicating","adjective","משכר/מסחרר","משכר, מסחרר","An intoxicating idea."
C2,term,"intractable","adjective","בלתי-פתיר/סרבן","בלתי-פתיר או עיקש מאוד","An intractable problem."
C2,term,"intransigent","adjective","בלתי־מתפשר/עיקש","עקשן ולא מוכן להתפשר","An intransigent negotiator."
C2,term,"juxtapose","verb","להציב זה לצד זה","להציב זה לצד זה לשם השוואה","The film juxtaposes wealth and poverty."
C2,term,"laconic","adjective","לקוני/קצר־אמרים","ממעט במילים; תמציתי","A laconic reply."
C2,term,"lingering","noun","השתהות","השתהות, שהייה ללא חיפזון","Lingering over coffee."
C2,term,"longing","noun","כמיהה","כמיהה, געגוע עז","A longing for home."
C2,term,"lugubrious","adjective","נוגה/קודר","נוגה וקודר עד הגזמה","A lugubrious expression."
C2,term,"magnanimous","adjective","רחב לב/אציל נפש","רחב לב ונדיב, גם כלפי יריב","A magnanimous gesture."
C2,term,"manufacture","verb","לייצר/להמציא","לייצר, להמציא","Manufacture an excuse."
C2,term,"mendacious","adjective","כוזב/שקרן","כוזב, נוטה לשקר","A mendacious witness."
C2,term,"meticulous","adjective","קפדן/דקדקני","קפדן — מדקדק בכל פרט קטן","She kept meticulous records."
C2,term,"nadir","noun","שפל/נקודת השפל","נקודת השפל — המצב הנמוך ביותר","The nadir of his career."
C2,term,"nebulous","adjective","מעורפל","מעורפל וחסר צורה ברורה","A nebulous concept."
C2,term,"novelty","noun","חידוש/חדשנות","חידוש, חדשנות","The cult of novelty."
C2,term,"novice","noun","מתחיל/טירון","מתחיל, חסר ניסיון","A complete novice."
C2,term,"nuance","noun","ניואנס/גוון דק","ניואנס — הבדל דק במשמעות או בגוון","He understood every nuance of the text."
C2,term,"obdurate","adjective","קשה עורף","קשה עורף ובלתי-מתרכך","An obdurate refusal."
C2,term,"obfuscate","verb","לטשטש/לערפל","לטשטש — לעשות משהו לא ברור בכוונה","The report obfuscates the real costs."
C2,term,"objectivity","noun","אובייקטיביות","אובייקטיביות — חוסר משוא פנים","Values objectivity."
C2,term,"obstreperous","adjective","סורר/רעשני","סורר ורעשני, קשה לשליטה","Obstreperous children."
C2,term,"omission","noun","השמטה","השמטה, חיסרון","The omissions matter."
C2,term,"opaque","adjective","אטום/סתום","אטום; לא שקוף או לא ברור","The wording is opaque."
C2,term,"ostensible","adjective","לכאורה/למראית עין","לכאורה — נראה כך אך אולי לא באמת","The ostensible reason was cost."
C2,term,"ostentatious","adjective","ראוותני","ראוותני, נועד להרשים","An ostentatious display of wealth."
C2,term,"overturns","verb","הופך/מבטל","הופך, מבטל","Overturns the rule."
C2,term,"panacea","noun","תרופת פלא","תרופת פלא לכל בעיה","No single policy is a panacea."
C2,term,"paradigm","noun","פרדיגמה/מודל","פרדיגמה — מודל או תפיסה מקובלת","The discovery caused a paradigm shift."
C2,term,"paradoxically","adverb","באופן פרדוקסלי","באופן פרדוקסלי, סותר לכאורה","Paradoxically true."
C2,term,"parsimonious","adjective","קמצן","קמצן וחסכן עד קמצנות","Parsimonious with praise."
C2,term,"pejorative","adjective","של גנאי","של גנאי — בעל קונוטציה שלילית","A pejorative term."
C2,term,"perfunctory","adjective","שטחי/לצאת ידי חובה","שטחי ונעשה ללא עניין אמיתי","A perfunctory nod."
C2,term,"perimeter","noun","היקף/גבול","היקף, גבול חיצוני","The perimeter grows."
C2,term,"pernicious","adjective","מזיק/ממאיר","מזיק מאוד, לעיתים בהדרגה ובסתר","A pernicious influence."
C2,term,"pervasive","adjective","חודר/נפוץ","חודר ונפוץ בכל מקום","A pervasive influence."
C2,term,"pithy","adjective","תמציתי/קולע","תמציתי וקולע","A pithy remark."
C2,term,"placate","verb","לפייס/להרגיע","לפייס ולהרגיע כעס","He tried to placate the crowd."
C2,term,"plank","noun","קרש","קרש עץ","A wooden plank."
C2,term,"postpone","verb","לדחות","לדחות לזמן מאוחר יותר","Postpone the meeting."
C2,term,"pragmatic","adjective","פרגמטי/מעשי","פרגמטי — מעשי ומכוון לתוצאות","We need a pragmatic solution."
C2,term,"precarious","adjective","רעוע/מסוכן","רעוע, לא יציב ומסוכן","A precarious position."
C2,term,"prestige","noun","יוקרה","יוקרה","Academic prestige."
C2,term,"prized","verb","הוקיר/העריך","העריך מאוד, החשיב","Highly prized."
C2,term,"proclivity","noun","נטייה","נטייה טבעית למשהו","A proclivity for risk."
C2,term,"proliferate","verb","להתרבות/לשגשג","להתרבות במהירות ובכמות גדולה","Online courses have proliferated."
C2,term,"provisional","adjective","זמני","זמני, בלתי סופי","A provisional self."
C2,term,"prudent","adjective","זהיר/נבון","זהיר ונבון","A prudent choice."
C2,term,"quagmire","noun","סבך/ביצה","סבך, מצב קשה שקשה לצאת ממנו","A legal quagmire."
C2,term,"quintessential","adjective","מובהק/טיפוסי ביותר","מובהק — הדוגמה המושלמת לסוגו","It is the quintessential British novel."
C2,term,"recalcitrant","adjective","סרבן/עיקש","סרבן ועיקש, מתנגד לסמכות","A recalcitrant student."
C2,term,"recondite","adjective","נסתר/עמום","נסתר ועמום, מובן למעטים","A recondite subject."
C2,term,"reshape","verb","לעצב מחדש","לעצב מחדש","Reshape an industry."
C2,term,"retort","noun","תשובה עוקצנית","תשובה עוקצנית","A sharp retort."
C2,term,"sacrifice","verb","להקריב","להקריב, לוותר על","Sacrifice quality."
C2,term,"salient","adjective","בולט/מרכזי","בולט — החשוב והניכר ביותר","Let me note the salient points."
C2,term,"sanguine","adjective","אופטימי","אופטימי ובטוח גם במצב קשה","He remained sanguine about the future."
C2,term,"seamlessness","noun","חלקות/היעדר תפרים","חלקות, היעדר תפרים","A refusal of seamlessness."
C2,term,"seductive","adjective","מפתה","מפתה — מושך באופן שקשה לעמוד בפניו","A seductive idea."
C2,term,"staged","verb","מבוים","מבוים, מוצג","A staged photo."
C2,term,"straining","verb","מתאמץ","מתאמץ במאמץ רב","Straining to hear."
C2,term,"subsidy","noun","סבסוד","סבסוד, תמיכה כספית","A government subsidy."
C2,term,"sycophant","noun","חנפן","חנפן — מחמיא כדי להתחבב","Surrounded by sycophants."
C2,term,"symmetry","noun","סימטריה","סימטריה, איזון מושלם","Perfect symmetry."
C2,term,"tacit","adjective","סמוי/מובלע","סמוי, מובלע","Tacit knowledge."
C2,term,"taciturn","adjective","שתקן","שתקן — ממעט בדיבור","A taciturn man."
C2,term,"tenuous","adjective","רופף/קלוש","רופף — חלש או לא משכנע","The link is tenuous at best."
C2,term,"ubiquitous","adjective","נמצא בכל מקום","נמצא בכל מקום בו-זמנית","Smartphones are now ubiquitous."
C2,term,"unalloyed","adjective","טהור/ללא סייג","טהור, ללא סייג","Unalloyed joy."
C2,term,"untenable","adjective","בלתי־ניתן־להגנה","עמדה שאי אפשר להגן עליה","An untenable position."
C2,term,"unwittingly","adverb","מבלי משים","מבלי משים, ללא כוונה","Unwittingly caused harm."
C2,term,"urged","verb","נדחקים","נדחקים, מומרצים","Urged to act."
C2,term,"verdict","noun","פסק דין/הכרעה","פסק דין, הכרעה","A sweeping verdict."
C2,term,"vicarious","adjective","בעקיפין/דרך אחרים","חוויה דרך חוויותיו של אחר","Vicarious pleasure."
C2,term,"virtue","noun","מעלה","מעלה, תכונה טובה","A great virtue."
C2,term,"vitriolic","adjective","ארסי/נוטף ארס","ארסי וחריף ביותר (ביקורת)","A vitriolic attack."
C2,term,"vivid","adjective","חי/מוחשי","חי, מוחשי","A vivid image."
C2,term,"vociferous","adjective","קולני/רעשני","קולני — מביע דעה בתקיפות","Vociferous protests."
C2,term,"wager","noun","הימור","הימור","A risky wager."
C2,phrase,"With hindsight it looks inevitable, but it wasn't to them.",,"במבט לאחור זה נראה בלתי נמנע, אבל עבורם זה לא היה כך.",,
C2,phrase,"I'd resist drawing a firm conclusion from such thin evidence.",,"הייתי נמנע ממסקנה נחרצת על סמך ראיות כה דלות.",,
C2,phrase,"Let's not mistake the absence of objections for genuine agreement.",,"בוא לא נטעה בין היעדר התנגדויות להסכמה אמיתית.",,
C2,phrase,"We're conflating two quite separate issues.",,"אנחנו מערבבים שתי סוגיות נפרדות לגמרי.",,
C2,phrase,"What is this account quietly choosing not to mention?",,"מה התיאור הזה בוחר בשקט שלא להזכיר?",,
C2,phrase,"The point is well taken, though I'd qualify it slightly.",,"הנקודה מתקבלת, אם כי הייתי מסייג אותה מעט.",,
C2,phrase,"The elegance of the argument is doing a lot of quiet work here.",,"האלגנטיות של הטיעון עושה כאן לא מעט עבודה שקטה.",,
C2,phrase,"The argument, for all its elegance, rests on a shaky premise.",,"הטיעון, על אף יופיו, נשען על הנחה רעועה.",,
C2,phrase,"I'd want to separate a reason from a rationalisation here.",,"הייתי רוצה להפריד כאן בין סיבה לבין רציונליזציה.",,
C2,phrase,"I'd venture that the consensus is beginning to shift.",,"אני מעז לשער שהקונצנזוס מתחיל להשתנות.",,
C2,phrase,"Let's resist the temptation of a tidy narrative.",,"בוא ננגד את הפיתוי של נרטיב מסודר מדי.",,
C2,phrase,"We should be wary of conflating correlation with causation.",,"כדאי שניזהר מלערבב בין מתאם לסיבתיות.",,
C2,phrase,"It's a compelling case, albeit not a watertight one.",,"זה טיעון משכנע, גם אם לא חסין לחלוטין.",,
C2,phrase,"Splitting the difference here would just buy us a confident error.",,"פשרה כאן רק תקנה לנו טעות בטוחה בעצמה.",,
C2,phrase,"That nuance tends to get lost in the headlines.",,"הניואנס הזה נוטה ללכת לאיבוד בכותרות.",,
C2,phrase,"We risk solving the wrong problem rather elegantly.",,"אנחנו מסתכנים בכך שנפתור את הבעיה הלא נכונה בצורה אלגנטית.",,
C2,phrase,"Let's not mistake confidence for competence.",,"בוא לא נטעה בין ביטחון עצמי ליכולת.",,
C2,phrase,"It strikes me as a somewhat reductive interpretation.",,"זה נראה לי פירוש מצמצם משהו.",,
C2,phrase,"In hindsight, the decision was rather short-sighted.",,"בדיעבד, ההחלטה הייתה קצרת-ראות למדי.",,
C2,phrase,"The exception, far from disproving the rule, refines it.",,"החריג, רחוק מלהפריך את הכלל, מחדד אותו.",,
C2,phrase,"That framing, while neat, rather begs the question.",,"המסגור הזה, אף שהוא מסודר, די מניח את המבוקש.",,
C2,phrase,"We'd do well to distinguish correlation from mere coincidence.",,"מוטב שנבחין בין מתאם לבין צירוף מקרים גרידא.",,
C2,phrase,"I'd caution against reading too much into a single data point.",,"הייתי מזהיר מפני הסקת יתר מנקודת נתונים בודדת.",,
C2,phrase,"I'd be wary of overstating the significance here.",,"הייתי נזהר מלהפריז במשמעות כאן.",,
C2,phrase,"I'm not entirely convinced that the premise holds up.",,"אני לא משוכנע לחלוטין שההנחה מחזיקה מים.",,
C2,phrase,"I'd frame that as a tension to manage, not a problem to solve.",,"הייתי מציג זאת כמתח לניהול, לא כבעיה לפתרון.",,
C2,phrase,"The argument is seductive precisely because it's so simple.",,"הטיעון מפתה דווקא משום שהוא כה פשוט.",,
C2,phrase,"I take the point, but it strikes me as somewhat overstated.",,"אני מקבל את הנקודה, אך היא נראית לי מוגזמת במקצת.",,
C2,phrase,"I'd hesitate to treat correlation as if it settled the matter.",,"הייתי נמנע מלהתייחס למתאם כאילו הוא מכריע את העניין.",,
C2,phrase,"We're treating deep uncertainty as if it were measurable risk.",,"אנחנו מתייחסים לאי-ודאות עמוקה כאילו הייתה סיכון מדיד.",,
C2,phrase,"I'd be loath to draw a sweeping conclusion from one case.",,"הייתי נרתע מלהסיק מסקנה גורפת ממקרה אחד.",,
C2,phrase,"The proposal is compelling, but its assumptions are doing a lot of work.",,"ההצעה משכנעת, אך ההנחות שבבסיסה נושאות בנטל כבד.",,
C2,phrase,"Let's tease apart the various strands of the argument.",,"בוא נפריד בין הקווים השונים של הטיעון.",,
C2,phrase,"We may be answering a sharper version of the wrong question.",,"ייתכן שאנחנו עונים על גרסה חדה יותר של השאלה הלא נכונה.",,
C2,phrase,"I'd be the first to concede the point if proven wrong.",,"אהיה הראשון להודות בכך אם יוכח שטעיתי.",,
C2,phrase,"Let's resist the comfort of a single, tidy cause.",,"בוא לא ניפול לנוחות של סיבה אחת ומסודרת.",,
